大家好,我是尤尚捷
讓我們隆重歡迎這次的乾爹 Surfshark VPN
你有在看劇的時候跳出
你所在的區域不支援本服務過嗎?
這應該是大家最主攔的一行字了吧?
也是我在德國使用很多服務的家常便飯
像 Netflix 甚至很多電影跟劇的字幕
居然都跟你所在的地區有關
像我前陣子想從上面看鬼滅之刃
結果發現德國版居然只有德文字幕可以選
其實我真心不懂這個設計耶
字幕檔不是本來都有嗎?為什麼?
就是不讓我選了
反正總之最後我就只好放棄
幸好 Surfshark VPN 即時出現
手指輕輕一點
我們的網路位置馬上可以從台灣、德國、美國
或是其他世界各國之間跳躍
追劇無國界
這應該某種程度上應該是解鎖地球了吧?
而且就像旅行箱我們會上鎖一樣
我們的網路足跡也需要受到保護
透過 Surfshark VPN
可以讓我們的資料更加保密
隱私也更受到保護
現在 Surfshark 推出30 天內 100% 的退款保證
另外只要在註冊的時候
輸入解鎖地球的專屬優惠碼
Unlock
UNLOCK
就可以享有83% 的折價
- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們
- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們
- 可是對他們來說- 他們曾經有一次- 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿 他們曾經有一次- 阿
- 但是有人這樣跟你反應過- 或是說你有感受到- 妳的態度- 造成一些不同- 阿 嗯- 就例如像說- 他們有要推銷- 或者是- 他們要- 把自己推銷給我- 當我的清潔工- 但是我沒有要請- 嘛- 但是其他很多- 教職員都有- 然后他們就會- 一直- 你知道- 很gay by- 很假友善的- 來說-Man- Cleaner- Cleaner- 然后我就- 阿 阿- 就是- 你是說- 你要來- 還是- 你要去- 是不是- 然后他就說- 到你家- 到你家- 然后他們都- 英文都- 比較少- 嘛- 但是有人這樣跟你反應過- 或是說- 你有感受到- 你的態度- 造
- 所以就是用Hindi 般- 響地 般- 一樣這樣講- 嗯- 然后對我來講- 就是- 有些時候- 他們可能會把我的- 好意- 就是當成- 比較- 就是會把它當成- 一種- 理所當然- 或者是- 那叫什麼- 嗯- 得寸進食的感覺- 那個感覺- 但是- 不一定是- 哦- 他覺得你很nice- 他就會想要- 對對對- 再更多這樣子- 對對對對- 這樣對- 然後或者是- 呃- 如果我去- 跟這些清潔工- 講假- 因為其實他的灰塵是- 非常多- 所以我每個學期- 回台灣- 再回來的時候- 他之前都一定要先打掃- 要不然- 我自己- 要不然- 我自己- 嗯- 如果我去- 跟
- 一個人打掃- 是沒有辦法的- 所以我通常會- 請助理幫我找人- 但是我發現- 我去找人的時候- 他報一個價錢- 可是助理去找- 印度人去找- 其實不同的價錢- 對- 哇哦- 那你再找一個白人去找- 哈哈哈哈- 哈哈哈哈- 社會實驗對不對- 其實可以拍影片- 哈哈哈哈- 就這類的- 就是- 你知道我一直在中間摸索- 然後或者是- 乞討的孩子也是啊- 就是有很多事情- 不是他表面說- 啊我們要去幫助他- 了- 那個什麼- 平民百萬的富翁- 不是他後面是有財團- 所以他後面是有財團- 所以他會有財團- 但是他會有財團- 但是他會有�
- 所以那小朋友就被使用來當成這個同工- 然後他們去乞討變成一個生意的模式- 所以每一次我要給跟不給中間- 我一定會想說- 嗯嗯嗯嗯- 要給嗎- 真的對他們有幫助嗎- 不給嗎- 那他是不是那個很乞討的眼神一直盯著我- 水汪汪的眼神看著你- 對- 然後就是鼻涕留在這邊- 然後穿著真的很髒的衣服- 抱著一個很髒的小娃娃- 我能給他一個糖果- 可能可以- 可是- 可是- 真是很髒的衣服- 可能可以- 可是- 真是很髒的衣服- 可能可以- 可是- 真是很髒的衣服- 可能可以- 可是- 真是很髒的�
- 真的會對他有幫助嗎- 我不知道- 所以就是- 這些事情好像- 曾經是我很善意想去做- 去幫助的事情- 可是反而它增加了更多不同的意義- 去讓我思考- 對啊 而且特別是在印度這樣的- 這樣的地方- 它其實- 你看到- 你所謂看到的這種- 階級制度- 階級社會層級等等- 就是這個範圍是大到你無法想像- 就是- 你其實想要改變什麼- 或是- 你不管做任何事情- 其實都在這邊是- 無足輕重這樣- 完全不可能改變任何事情- 沒錯- 所以我覺得- 這是就是- 真是真的會對他有幫助嗎- 我不知道- 所以就是- 這些事情好像- 曾經是我很善意想去做去幫助的事情-
- 為什麼你會在這個體系中會覺得更無力的一點這樣- 我覺得有一些深刻的小故事可以跟大家分享- 然後我覺得也可能跟我自己的取向比較有關- 就我比較不是大數據的人- 所以我都是用一些小人物跟小的視角跟框架- 來看一些社會層面的事情- 有一個就- 我覺得- 其實還是蠻- 看到印度人的人情味- 然後我們每一個禮拜啊- 學校都會派車- 在我們去德里去買菜這樣子- 就是去進城- 這樣就是進城- 這樣就是進城- 這樣就是進城- 這樣就是進城- 這樣就是進城- 這樣就是進城- 這樣就是進城- 這樣進城- 這樣進城- 這樣進城- 這樣進城- 這樣進城- 這樣進城- 這樣進城- 這樣進
- 啊買菜還要去德里喔- 這麼厲害- 就國際的東西比較好買- 啊其他的- 哇- 其他的就是路邊的攤販- 買高檔貨- 對- 就是那些洋貨嘛你知道- 哈哈哈哈- 麵條啊- 然後米東方的米啊- 這些就是要進城- 也是啊- 買這樣- 這樣- 對- 然後所以司機如果叫久了- 他們基本上是學校會簽一張- 什麼收據- 然後他們就會注銷- 那個- 你說合銷- 費用- 合銷- 對對對對- 所以他們都是要跟我簽- 簽久了之後呢- 其實他- 他們就會簽一張- 什麼收據- 然後他們就會注銷- 那個- 你說合銷- 那個- 貝用- 合銷
- 他們叫的司機也就那幾個- 然後其實我印象很深刻的- 就有兩個- 有一個是爸爸- 然後其實他們都是爸爸啦- 我覺得他們的- 社會價值就是那樣- 就是到一個年紀一定是爸爸- 人家都是爸爸- 一定是爸爸- 對對對- 然後都是已經結婚了這樣- 然後其中有一個呢- 他叫Surinder- 然後他真的是黑到一個- 就是黑到發亮- 我在懷疑他是不是南印度人上來- 北漂- 對不對- 然後他- 他人真的很好- 他就是會載我們去- 去商場啊- 他都大概知道我們這些路數是什麼- 我們這些外國的教職人- 人家都知道我們這些路數是什麼- 我們這些外國的教職人- 人家都知道我們這些路數是什麼- 人家都知道我們這些路數是什麼- 人家都
- 人家都知道- 然後可是有一次他就是- 高速公路我們回來從德里到Sony Park是要搭國道1號- 台1線- 沒有啦不是- 印1線- 可是他們- 他們高速公路一點都- 可是他們高速公路一點都- 就他們高速公路旁邊曾經還有大象跟那個- 落頭在旁邊走的- 所以就是比較沒有辦法符合我們想像的高速公路- 喔喔喔喔喔喔喔 哇喔 高速公路旁邊跟你近似我是獵豹啊- 這種沒有啦- 哈哈哈哈- 沒有啦- 是大象是大象是畫著很漂亮的大象喔- 喔喔喔喔喔喔 他們應該是去婚禮那一類的- 讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚讚
- 對- 然後呢 他的路邊還會有小攤子- 有兩個小攤子我最喜歡的- 第一個就是賣烤玉米的- 高速公路旁邊還可以- 還可以烤玉米- 他們就是小攤子放在那邊- 然後大家如果要停下來買就停下來買這樣- OK 這個跟我們理解的高速公路可能不太一樣- 對沒錯- 就欸怎麼- 欸怎麼會旁邊有小攤子- 然後再來一個就是賣椰子水的- 那你知道就印度本來就很- 很多時候尤其是- 就是春季到秋季中間- 德里這個部分其實是很熱的- 它還會有小攤子- 對 還有小攤子- 然後呢- 高速公路旁邊還可以烤玉米的- 高速公路旁邊還可以
- 還是有冬天- 所以大家不要以為就是整個印度都很熱- 不是不是- 不是- 中南印度會比較- 全年都是熱的- 可是北印度還是有它的冬天- 然後更北就會下雪這樣- 所以就是每一次我們坐完車車都會很熱- 或者是如果冷氣不冷什麼的- 然後我們就會- 停車然後我們要買椰子水- 然後還有一次- 所以Surinder他這個大叔就真的人很好- 他就看到- 他就問我們說- 欸你們要不要買我跟我同事- 就蛤- 什麼東西- 然後他就說- 來來來來- 然後一人一個- 所以呢就他就是真的- 那個真的- 那個真的人很好- 他就看到- 他就問我們說- 欸你們要不要買我跟我同事- 就蛤- 什麼東西- 然後他就說- 蛤-
- 那個小販在路邊這樣殺了一個椰子- 然後就把吸管殺進去- 然後我們三個人喔- 就坐在車子裡面- 然後在那邊喝喝喝- 喝完了之後就把椰子- 呵呵還給他- 這樣- 然後我就覺得- 欸他其實不需要這樣子欸- 他就硬要請我們- 可是- 可是我覺得他應該- 感受到我們對他的善意吧- 就- 就是在那樣的交集下面- 然後我覺得語言可能也不太通- 可是他們還是- 他很希望能夠藉由這樣- 請一個椰子水- 然後讓我們感受到他的善意- 這也是滿溫暖的啊- 啊
- 對真的還滿溫暖的- 然後就這個故事我會記著- 就覺得很好- 然後還有第二次- 其實不是只有請我一次- 第二次是載著非洲的學生- 一個什麼莫山比克跟賴比瑞亞- 然後就坐在後面- 他們就跟著我的車進去- 然後司機也問說- 那你們從哪裡來- 然後就小聊一下- 然後也同樣停下來請他們喝- 然後他們整個是- 那學生眼睛是頓大- 受手若驚絲- 對他們覺得- 印度人怎麼會這麼好- 這樣- 請我喝一支水- 讚- 對對對對- 然後再來就另外一個司機- 他人也是很好- 可是我現在- 嗯他應該叫什麼- 吉特
- 然後呢- 然後呢- 他有一天就在我們去Sony Park的市區- 就其實我們小鎮旁邊還是有市區- 可以去買一些日常用品- 不一定要進到德里- 因為- 然後就是進小鎮大概只有20分鐘吧- 就進去了- 然後我們就問他說- 欸那你家有誰啊- 然後我那時候Hindy也是爛爛的- 所以我就是- 把學的東西拿出來講啊- 然後有幾個太太- 啊不是- 啊一個太太- 對對對- 一個太太- 然後就Hindy很爛對不對- 還在那邊講- 幾個小孩啊女兒兒子這樣- 然後他就轉過來問說- 啊女兒子這樣- 然後他就轉過來問說- 啊一個太太- 對對對- 然後就Hindy很爛對不對- 然後就跟他講- 幾個小
- 你要不要去我們家- 然後我就- 嗯- 什麼意思- 嗯- 但是幸好我還是- 我有同事啦- 然後那時候已經第三年想說- 你也不能對我們怎樣- 對對對- 我就可以叫很多人來電主了- 然後手機就OK- 他真的就帶我們去他們家- 然後他們家其實看起來- 在那個社區裡面也算是- 也算是比較富力堂皇的那一種- 喔還不錯這樣- 對- 然後所以才改觀說- 喔原來- 因為在台灣計程車司機不一定是- 比較高的職業嘛- 就是我們古面來講- 我們不會很重視他們- 可是在- 在北印度這個地方- 喔原來- 因為在台灣計程車司機不一定是- 比較高的職業嘛- 就是我們古面來講- 我們不會很重視他們- 可是在-
他們如果能夠當到計程車司機- 或甚至開一個車行- 嗯- 都是一個比較高的結尾- 然後他就進去然後就介紹太太- 然後太太抱個小孩這樣子- 然後就請我們喝個水- 然後就說謝謝謝謝- 然後我們就看- 真的看了一圈- 然後我們就說- 我們不要打擾不要打擾- 我們就回去- 哇他專門帶你去- 就是house tour這樣子- 對對對- 然後其實- 如果沒有他- 我們不可能認識那裡的人- 因為大部分的人都不是從那邊來的- 就我們學校裡面的人都是別的地方來的- 對- 對- 對- 對- 對- 所以他就- 跟他家裡的人都不可能認識那裡的人- 因為大部分的人都不是從那邊來的- 就我們學校裡面的人都是別的地方來的- 對- 對- 對-
就願意開放他的家庭給我們看一下- 然後我自己也是很- 很感謝他- 因為我覺得他- 不是只有在賺我們的錢- 他是有- 也是有一些- 人與人的連結在- 對對對- 對- 對- 對- 對- 對- 然後還有另外一個- 就是另外一個小故事- 其實是我看的也是比較難過- 也會影響我想說- 嗯- 孩子的未來到底是什麼- 我們那時候我要做一個什麼- 帘子- 帘子- 然後呢- 我就很想要走進度風- 做帘子- 帘子- 就是做一個窗帘類的- 後來是桌布要收邊- 喔- 嗯- 對- 對- 那我聽說對面的國宅- 還有有人- 會這樣說- 嗯- 對- 對- 對- 那我聽說對面的國宅
- 會做這些事情- 就其實國宅裡面有很多很好的事情- 但是我們- 很多人的意識住在裡面- 但是我們- 很多人的意識住在裡面- 對對對- 然後我們都跨不過去- 所以就不知道- 等到第三年的時候- 然後就有人帶我去找一個裁縫- 幫我去縫那些東西- 例如像褲子要收邊- 或者是改短改長什麼那些的- 然後可是我瞥眼- 我進到他們家- 我瞥眼一看- 就是看到他們家兒子住在地上- 嗯- 然後我就發現- 他其實是有特殊需求的孩子- 就特殊兒- 然後可是他- 長得就是已經是青少年的神話- 然後他長得就是- 已經是青少年的神話- 然後他就發現他其實是有特殊需求的孩子- 就
- 嗯- 可是還是跟- 就是三四歲的小朋友- 講話是一樣的- 然後就我有問媽媽- 然後但是媽媽- 因為英文也不是很好- 然後我的Hindy也不是很好- 所以他就差不多問我說- 那會不會去學校- 他就說- 以前去學校現在不會去了- 我就說- 那以後怎麼辦- 他就說- 以後我們照顧他們- 嗯- 就是- 那一個對話- 我就沒有再問了- 因為其實也很難問下去- 可是- 我就一直在想說- 哇那印度的特殊教育- 這些孩子是不是能夠有- 什麼樣的改善- 嗯- 這一類的- 嗯- 這一類的- 嗯- 這一類的- 嗯- 這一類的- 嗯- 這一類的- 嗯- 這一類的- 嗯- 這一類
- 看著眼神就覺得有點難過- 我覺得像是- 像是這樣子比較- 呃- 情況特殊的小孩啊- 就是這種照護本來就很依賴這種- 社會安全網這種架構這樣- 嗯- 可是我- 我猜印度這個- 這一部分可能- 還離健全還蠻遠- 所以他可能就- 沒有這樣的資源去做- 所以他也- 最後也只能這樣子- 就是說好那我們就照顧他一輩子- 這樣- 就待在家裡- 對- 對- 就有一點遺憾這樣- 然後還有另外一個故事就是- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯
- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯-
- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯-
- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯- 嗯-
- 就是他不開了
- 因為已經超過他能夠賺的錢的
- 然後要不然就是要增加多少錢
- 或者是他沒有要去了
- 啊不是啊早講啊
- 奇怪欸
- 然後呢我就跟他說
- 不行不行你還要繼續開啊什麼的
- 然後我就開始
- 真的是破Hindi不知道在吵什麼價
- 不知道在講什麼價錢
- 然後真的是
- 他就是他又說
- 沒有沒有沒有你就是沒有跟我講這個地方
- 我就是沒有要去了
- 所以你就是
- 然後我就說那我現在下車
- 然後呢我就把100塊Ruby就丟給他
- 然後我就往回走
- 可是其實我心裡超怕
- 欸你那個荒山野林你要走去哪
- 對他真的就是產業道路是旁邊
- 沒有車沒有人什麼的
- 然後就往後走
- 然後呢就剛好有一台車
- 就停下來看我們發生什麼事
- 因為我很大聲嘛
- 然後我就跟他在那邊吵
- 他其實就比我矮一個頭
- 因為其實很多司機他們可能就是
- 聲量比較小一點
- 然後我算是比較大一點點的女生
- 然後真的是吵到
- 我真的很擔心
- 我那時候就是心裡就是
- 嚇到一個不行
- 因為我很怕他追上來
- 然後打我或者是怎樣
- 嗯- 對對對對
- 你知道女生就會想要強暴
- 那那時候全部的數據就會跑上來
- 然後所以當那一台車
- 慢慢的停在我旁邊
- 然後呢搖下車窗
- 然後他說發生什麼事情
- 然後說我要去expo
- 然後我就看到那個男生
- 那個司機是一個
- 大概跟我差不多年紀吧
- 大概2030出頭
- 然後穿著小短褲
- OK
- 然後開了一台車
- 然後呢
- 然後他說
- 我可以載你去啊
- 然後我就上車了
- 哇
- 跟你不上車
- 跟你沒辦法
- 然後上車了
- 然後四
- 然後你知道
- 我就車窗還關起來
- 然後呢一路開
- 就慢慢的開過去
- 然後司機還在
- 啊
- 然後呢
- 就我就沿著車窗
- 這樣看著他
- 然後我們就
- 就繼續往前開
- 可是
- 驚魂未定之時
- 我想說
- 幹
- 我上一台車
- 我不知道會不會去哪裡耶
- 就是
- 他真的會
- 真的老實把我載到
- 會場中心嗎
- 然後就開始打亮
- 然後就想說
- OK 這個門鎖是這樣
- 然後我就想說
- 真的沒有帶
- 沒有帶刀子
- 殺毀
- 會不會今天死在他手裡
- 然後所以就
- 你再繼續一直
- 禱告
- 上天啊
- 絕對不能讓我
- 死在這裡
- 你可以
- 就可以
- 丟在全鄉
- 黃光教野外
- 但是我真的不能被強暴
- 什麼那一類
- 就是那種
- 非常非常多的恐懼
- 就開始
- 湧現出來
- 冒冷汗
- 湧現出來
- 而且我真的後面
- 大家說
- 就是後面會冒冷汗
- 是真的
- 可是我從來沒有體會過
- 就那一次
- 背後都死了這樣
- 幸好
- 他就跟我聊個天
- 然後我就說
- 那對
- 我們要去那邊
- 他說你要幹嘛
- 我說
- 就要去展會
- 然後我要去工作
- 這樣
- 他說
- 那你明天還會來嗎
- 我說
- 可能會喔
- 可是不一定
- 因為說不定
- 他們不需要我就回家
- 喔 結果講得很模糊
- 這樣
- 然後他說
- 那我可以跟你
- 跟你要電話
- 而且他是受過英語教育的
- 喔
- 所以他說
- 可以要電話號碼嗎
- 然後他說
- 他說
- 可以邀你出去玩嗎
- 我說
- 可以啊
- 那我可以帶我男朋友嗎
- 可以啊
- 然後
- 哇
- 這麼nice
- 他真的
- 讚喔
- 對
- 他很nice
- 然後他真的就把我送到
- 那個會場的門口
- 然後我就下車
- 就再也沒接過他電話了
- 哈哈哈哈
- 然後我說非常非常謝謝你這樣子
- 然後就
- 但是我就覺得應該要打住了
- 因為
- 欸
- 到底要幹嘛
- 對啦
- 對啦
- 對啦
- 就這樣子
- 欸這件事情其實我爸媽也沒聽過
- 所以上線的時候
- 搞不好我媽會崩潰
- 哈哈哈哈
- 還要停在一起嗎
- 他也
- 也許有可能
- 媽不要生氣
- 我也只好好的那個
- 你知道
- 就是活過來這麼多年這樣
- 欸紅媽媽
- 又
- 嘿
- 哈哈哈哈
- 然後最後一個問題
- 不是最後一個問題
- 最後一個故事
- 就是其實那時候到
- 第二年的時候
- 二零大概一七年
- 如果沒有記錯的話
- 二零一七
- 二零一六那時候
- 嗯
- 然後呢
- 呃
- 台灣的媒體也有報
- 他們就是有
- 賈特人是一個種
- 就是北印的一個種族
- 他們長得很高大
- 然後呢
- 其實他們社經地位也比較好
- 在種性制度裡面算比較高的那種
- OK
- 然後他們暴動
- 為什麼暴動呢
- 因為他們對於這個公職
- 就他們跟我們一樣
- 他們考公職也是一個鐵飯丸的狀態
- 呃
- 公職的不同種族或者是種性會有一些配額
- 欸
- 我以為種性現在已經沒有
- 就是在官方上已經不存在了
- 對
- 但是他們應該是
- 我看
- 因為我後來回去看新聞
- 應該就是不同的種族啦
- 喔
- 不同種族的配額這樣
- 對
- OK
- 配額
- 然後他們不滿
- 其實他們的限額已經算是
- 很多是不是
- 但是他們不滿
- 其他比他們低的一些種族
- 呃
- 能夠得到這些
- 然後誰就暴動
- 他可能覺得自己
- 尊絕不凡
- 應該更多配額才對
- 這一類的
- 所以其實我看到印度的媒體在報的時候
- 他們都會覺得說
- 啊
- 就很多的評論都在說
- 就假特爾人他們心不知足啊什麼的
- 嗯
- 可是他們那
- 他們
- 哈利安娜就是假特爾人的大本營
- 也就是我待的那個幫
- 喔
- 然後那個幫很普遍來講
- 很多其他幫的人聽到說
- 我在哈利安娜工作
- 他們都
- 蛤
- 啊
- 真的喔
- 那邊的人的頭腦都長在膝蓋上
- 蛤
- 他們用英文跟我講
- 從老早在膝蓋上的意思是
- 就是他們比較兇悍
- 喔
- 喔

































- 喔

- 受的教育比較少
- 所以就是
- 就是連
- 因為像Louis他不是那個幫的人嘛
- 所以他聽到他們的
- 太嚇到
- 對
- 他們叫哈利安娜
- 他們每一個幫有自己的方言
- 雖然都是講印第語
- 但是他們有一些自己的那個方言
- 反正就是聽
- 他聽完他都會覺得
- 我不想跟他們講話
- 的那種感覺
- 哇
- 對
- 算是那個印度邊緣人
- 這樣
- 他們就比較兇的那一個
- 就如果他們要去打仗
- 應該會贏的那一群啊
- 對
- 然後所以他們真的那一天
- 那兩天喔
- 我本還在德里玩啊
- 然後還住在牧師家
- 然後就去做一些其他的事情
- 結果到了那天晚上
- 他呢Louis的爸媽打電話來說
- 你們知不知道
- 賈特人已經把那個
- 國道一號
- 就是我們剛剛講的國道一號
- 已經全部阻攔
- 然後他們已經開始在燒東西
- 在抗議
- 然後要把石頭全部堆在那邊
- 讓交通沒有辦法過去
- 你們在哪裡
- 哇 那麼這麼大
- 對 真的很大
- 那時候是全國的新聞
- 就連南印度的朋友
- 都來問我們這樣
- 然後我在德里就
- 哈
- 什麼東西
- 然後開新聞
- 然後趕快查一下看一下
- 就真的很危險
- 然後那時候就
- 學校的人事部也跟我們說
- 不要有任何的交通
- 他們就賠不起對不對
- 就如果外國
- 對啦
- 你在那個車道上面
- 被人家攔住還得了
- 對 所以就是非常危險
- 然後
- 那可是我們就在德里
- 又繼續待了兩天
- 本來我要回宿舍也沒辦法回
- 然後停課喔
- 那時候也真的是全部
- 中小學大學都全部停課
- 哇喔
- 然後就是這麼的嚴重
- 然後就看他們那邊燒啊
- 然後都是那個新聞畫面這樣
- 然後我就
- 我們就聯絡學校
- 因為學校畢竟還是要保護我們嘛
- 對
- 隔了兩天之後
- 他們就聯絡我們
- 而且是前一天的
- 很晚的時間跟我們說
- 你明天什麼六點鐘
- 到學校這個校區
- 其實就一棟大樓前面
- 我們會有一個司機來去載你們
- 一個鑽車這樣
- 對
- 然後所以我跟Louis就在那邊等
- 真的是
- 真的是很緊張
- 因為想說錯過這班車
- 我們也不知道什麼時候
- 可以回宿舍了這樣
- 然後我們就在那邊等車
- 等車之後還有
- 我們還另外再去載了另外兩個女生
- 印度的教職員這樣
- 然後就一起上車
- 然後上車同時
- 我就看到那個司機就很高大
- 他大概190
- 然後可能100多斤
- 因為Louis已經190了
- 所以就是要真的找到這麼高的
- 就是很大
- 所以他假特人的那個形象
- 就 喔喔喔喔 OK
- 真的很大
- 然後我們在後面啊
- 就坐在車上
- 然後全部就開
- 然後他都是
- 他沒有開國道
- 他就是開
- 呃... local叫什麼
- 當地的...
- 就是當地的道路
- 普通的道路就對了
- 對對對對
- 然後還轉小路啊
- 到鄉間田裡面
- 然後再轉出來這樣
- 然後我們在後面
- 真的是不敢自私一生
- 哈哈哈哈
- 因為我旁邊的同事就跟我說
- 對 你想要小心一點
- 因為他也是假特人
- 可是他是沒有參與暴動的假特人
- 嗯...不好說
- 不知道
- 也不知道啊
- 對
- 所以我真的就是親身經歷了那一次
- 嗯...暴動
- 但是沒有在裡面的
- 就是離暴動的零距離這樣
- 對 沒錯
- 所以就差不多是這個故事
- 哇
- 但你在那邊的生活也是蠻刺激的
- 哈哈哈哈
- 在印度的生活不會無聊
- 對 真的不會無聊
- 對 在印度是不是
- 對 無法無聊
- 隨時都有一些
- 各種事情隨時隨地在發生
- 嗯 因為很多事情沒有辦法照我們的脈絡來走嘛
- 所以隨時都有意外
- 隨時都會不經意有一些什麼事情會出來
-  然後會
- 但是也...
- 當然因為我遇到小雀鏡的時候也是蠻開心的這樣
- 是沒錯啊
- 但整體來說你還是喜歡印度的吧
- 對吧
- 這個問題是不是有點大災問
- 哈哈哈哈
- 無法回答是不是
- 哈哈哈哈
- 你也不要緊已經道盡了一切
- 哦...嗯...
- 我覺得...
- 因為你知道我現在講
- 我知道很多人聽
- 可是我還是希望就是呈現我的個人的故事
- 就是...
- 對 當然
- 雖然我已經跟印度學生結婚
- 然後他的活價也非常好
- 然後我覺得...
- 可能還是在印度某一個地方可以找到我的樂圖
- 但是...
- 嗯...
- 我還是覺得...
- 那個生活的舒適度要達到我習慣的那一個
- 因為畢竟我自己本身又是城市長大的
- 所以就會比較不習慣
- 不想要在那樣的狀況裡面過很久
- 對 所以我覺得就是印度給我的想法
- 就又愛又恨
- 因為他的確有很多文化食物啊
- 然後消費水準
- 或者是跳舞文化我超級喜歡
- 嗯...
- 在台灣比較少
- 然後就是在印度我就隨便亂跳
- 沒有文化
- 然後再來就是衣服我覺得穿得也很漂亮
- 然後他們只要...
- 我打入他們的群體
- 就真的就是可以打入
- OK
- 然後就是他們真的會...
- 會掏心掏肺啊什麼那些
- 所以相對來看這個西方世界
- 我覺得比較難進入
- 所以我覺得...
- 如果真的有需要...
- 因為我們畢竟還是要回婆家
- 如果他們變老的話嘛
- 對
- 所以...
- 然後我先生又是長子
- 哇哦 責任重大
- 啊對
- 啊對
- 所以其實我的地位也滿高的這樣
- 只是我沒有運動一下
